iter	Passed	Remaining
156	783	4205
157	789	4206
158	795	4206
159	798	4194
160	804	4194
161	809	4189
162	814	4180
163	818	4174
164	824	4172
165	829	4165
166	833	4156
167	838	4153
168	845	4158
169	850	4151
170	854	4141
171	858	4132
172	862	4122
173	868	4121
174	872	4115
175	876	4103
176	883	4107
177	887	4100
178	891	4090
179	897	4086
180	901	4077
181	905	4067
182	909	4062
183	914	4055
184	919	4049
185	921	4034
186	926	4026
187	931	4021
188	937	4022
189	942	4016
190	946	4009
191	951	4005
192	956	3999
193	967	4018
194	972	4015
195	978	4011
196	983	4007
197	988	4005
198	993	4000
199	998	3992
200	1003	3990
201	1008	3985
202	1013	3979
203	1018	3972
204	1025	3976
205	1029	3966
206	1034	3963
207	1040	3962
208	1044	3953
209	1049	3946
210	1053	3940
211	1057	3930
212	1061	3921
213	1066	3918
214	1073	3918
215	1077	3910
216	1082	3906
217	1088	3904
218	1095	3906
219	1100	3901
220	1105	3896
221	1110	3890
222	1115	3886
223	1120	3880
224	1125	3878
225	1131	3875
226	1135	3866
227	1139	3859
228	1145	3857
229	1150	3852
230	1154	3844
231	1161	3845
232	1169	3848
233	1175	3849
234	1181	3846
235	1186	3840
236	1190	3833
237	1196	3829
238	1199	3820
239	1204	3814
240	1209	3809
241	1221	3825
242	1233	3841
243	1245	3858
244	1252	3859
245	1256	3852
246	1261	3846
247	1273	3862
248	1277	3852
249	1286	3859
250	1292	3857
251	1306	3879
252	1311	3871
253	1327	3897
254	1347	3937
255	1361	3955
256	1377	3981
257	1384	3981
258	1408	4029
259	1424	4053
260	1434	4062
261	1440	4057
262	1449	4061
263	1454	4054
264	1459	4046
265	1465	4045
266	1471	4040
267	1481	4047
268	1485	4036
269	1490	4029
270	1495	4023
271	1499	4013
272	1505	4009
273	1510	4002
274	1514	3992
275	1519	3986
276	1524	3978
277	1528	3970
278	1535	3968
279	1539	3959
280	1546	3956
281	1549	3946
282	1553	3936
283	1557	3925
284	1562	3919
285	1567	3912
286	1571	3904
287	1578	3902
288	1583	3894
289	1589	3891
290	1592	3880
291	1598	3876
292	1602	3867
293	1606	3858
294	1611	3851
295	1616	3845
296	1619	3834
297	1625	3828
298	1629	3821
299	1634	3813
300	1640	3808
301	1646	3804
302	1650	3796
303	1654	3787
304	1660	3784
305	1666	3780
306	1670	3771
307	1676	3766
308	1681	3761
309	1685	3751
310	1690	3745
311	1697	3743
312	1703	3738
313	1707	3730
314	1714	3727
315	1718	3720
316	1722	3711
317	1727	3705
318	1734	3702
319	1739	3696
320	1743	3686
321	1748	3680
322	1752	3674
323	1757	3666
324	1762	3659
325	1766	3651
326	1770	3643
327	1774	3635
328	1777	3625
329	1782	3618
330	1789	3616
331	1799	3619
332	1807	3620
333	1812	3613
334	1816	3606
335	1822	3600
336	1828	3596
337	1836	3597
338	1844	3596
339	1850	3591
340	1856	3587
341	1864	3587
342	1870	3583
343	1875	3576
344	1880	3569
345	1886	3566
346	1890	3558
347	1895	3551
348	1900	3545
349	1904	3537
350	1910	3533
351	1915	3525
352	1921	3521
353	1929	3520
354	1934	3514
355	1938	3506
356	1942	3498
357	1950	3497
358	1955	3491
359	1967	3498
360	1973	3492
361	1979	3488
362	1986	3485
363	1992	3481
364	1999	3479
365	2007	3476
366	2015	3476
367	2020	3469
368	2025	3462
369	2032	3460
370	2036	3453
371	2043	3450
372	2051	3447
373	2057	3444
374	2064	3441
375	2068	3433
376	2073	3427
377	2081	3424
378	2086	3418
379	2090	3411
380	2096	3405
381	2102	3401
382	2106	3393
383	2110	3385
384	2114	3378
385	2119	3371
386	2123	3364
387	2129	3358
388	2134	3352
389	2138	3345
390	2144	3340
391	2148	3332
392	2153	3325
393	2158	3319
394	2162	3311
395	2167	3305
396	2174	3302
397	2180	3297
398	2188	3295
399	2194	3292
400	2198	3284
401	2205	3280
402	2210	3274
403	2215	3268
404	2219	3261
405	2228	3260
406	2232	3253
407	2238	3248
408	2242	3240
409	2247	3234
410	2250	3225
411	2254	3217
412	2258	3209
413	2262	3203
414	2270	3199
415	2275	3194
416	2280	3188
417	2284	3180
418	2290	3176
419	2295	3170
420	2299	3162
421	2305	3157
422	2312	3154
423	2327	3161
424	2333	3157
425	2345	3160
426	2351	3155
427	2359	3153
428	2365	3148
429	2371	3143
430	2377	3138
431	2382	3132
432	2387	3125
433	2397	3126
434	2402	3120
435	2408	3116
436	2417	3114
437	2430	3119
438	2437	3114
439	2444	3110
440	2450	3105
441	2455	3099
442	2461	3094
443	2467	3089
444	2473	3085
445	2480	3081
446	2484	3074
447	2491	3069
448	2501	3069
449	2514	3073
450	2519	3066
451	2526	3063
452	2535	3061
453	2541	3056
454	2546	3050
455	2550	3042
456	2555	3036
457	2561	3031
458	2568	3027
459	2572	3019
460	2575	3011
461	2581	3006
462	2585	2998
463	2589	2991
464	2595	2985
465	2599	2978
466	2604	2972
467	2609	2966
468	2613	2959
469	2619	2953
470	2624	2947
471	2630	2942
472	2633	2934
473	2639	2928
474	2644	2922
475	2648	2915
476	2654	2910
477	2658	2902
478	2661	2895
479	2667	2890
480	2672	2884
481	2676	2876
482	2682	2871
483	2688	2866
484	2692	2859
485	2697	2852
486	2704	2848
487	2710	2843
488	2714	2836
489	2719	2830
490	2724	2824
491	2730	2819
492	2734	2812
493	2740	2807
494	2744	2800
495	2749	2793
496	2754	2787
497	2759	2781
498	2763	2774
499	2770	2770
500	2775	2763
501	2780	2758
502	2786	2753
503	2791	2747
504	2796	2741
505	2800	2733
506	2804	2727
507	2809	2721
508	2814	2714
509	2819	2708
510	2827	2705
511	2831	2699
512	2835	2692
513	2841	2686
514	2846	2680
515	2849	2672
516	2855	2667
517	2859	2660
518	2864	2654
519	2869	2648
520	2874	2642
521	2878	2635
522	2883	2630
523	2889	2624
524	2894	2618
525	2899	2612
526	2906	2608
527	2912	2603
528	2918	2598
529	2922	2591
530	2927	2585
531	2931	2578
532	2941	2577
533	2946	2571
534	2951	2565
535	2955	2558
536	2959	2551
537	2962	2544
538	2971	2541
539	2978	2537
540	2987	2534
541	2992	2528
542	2996	2522
543	3001	2515
544	3006	2509
545	3010	2502
546	3015	2496
547	3020	2491
548	3025	2485
549	3029	2478
550	3034	2472
551	3038	2466
552	3047	2463
553	3054	2458
554	3061	2454
555	3066	2448
556	3072	2443
557	3076	2437
558	3080	2430
559	3085	2424
560	3090	2418
561	3095	2412
562	3100	2406
563	3105	2400
564	3108	2393
565	3114	2388
566	3119	2382
567	3124	2376
568	3129	2370
569	3134	2364
570	3138	2357
571	3142	2351
572	3148	2346
573	3152	2339
574	3157	2333
575	3163	2328
576	3168	2323
577	3172	2316
578	3179	2311
579	3183	2305
580	3188	2299
581	3192	2293
582	3197	2286
583	3201	2280
584	3207	2275
585	3213	2269
586	3217	2263
587	3222	2258
588	3228	2252
589	3236	2249
590	3242	2244
591	3249	2239
592	3258	2236
593	3265	2231
594	3275	2229
595	3279	2223
596	3289	2220
597	3295	2215
598	3301	2210
599	3307	2205
600	3313	2200
601	3319	2194
602	3323	2187
603	3331	2184
604	3339	2180
605	3353	2180
606	3362	2177
607	3373	2174
608	3386	2174
609	3405	2177
610	3423	2179
611	3433	2176
612	3460	2184
613	3464	2178
614	3474	2174
615	3505	2184
616	3514	2181
617	3519	2175
618	3537	2177
619	3544	2172
620	3559	2172
621	3572	2171
622	3580	2166
623	3585	2160
624	3596	2157
625	3602	2152
626	3607	2146
627	3615	2141
628	3619	2134
629	3627	2130
630	3636	2126
631	3641	2120
632	3648	2115
633	3654	2109
634	3661	2104
635	3666	2098
636	3669	2091
637	3675	2085
638	3680	2079
639	3688	2074
640	3692	2067
641	3698	2062
642	3704	2056
643	3709	2050
644	3713	2043
645	3720	2038
646	3725	2032
647	3731	2026
648	3735	2020
649	3740	2014
650	3748	2009
651	3755	2004
652	3769	2002
653	3773	1996
654	3777	1989
655	3784	1984
656	3790	1978
657	3799	1974
658	3806	1969
659	3812	1964
660	3820	1959
661	3825	1953
662	3830	1946
663	3837	1941
664	3843	1936
665	3850	1931
666	3855	1925
667	3861	1918
668	3870	1914
669	3875	1908
670	3880	1902
671	3890	1899
672	3895	1892
673	3904	1888
674	3922	1888
675	3927	1882
676	3941	1880
677	3950	1876
678	3957	1870
679	3964	1865
680	3972	1860
681	3982	1856
682	3988	1851
683	3997	1846
684	4005	1842
685	4014	1837
686	4021	1832
687	4025	1825
688	4031	1819
689	4038	1814
690	4046	1809
691	4052	1803
692	4057	1797
693	4064	1792
694	4070	1786
695	4074	1779
696	4082	1774
697	4090	1769
698	4095	1763
699	4100	1757
700	4104	1750
701	4116	1747
702	4120	1740
703	4124	1734
704	4129	1727
705	4134	1721
706	4143	1717
707	4150	1711
708	4164	1709
709	4172	1704
710	4178	1698
711	4183	1692
712	4188	1685
713	4193	1679
714	4199	1673
715	4202	1667
716	4206	1660
717	4210	1653
718	4215	1647
719	4220	1641
720	4226	1635
721	4230	1628
722	4235	1622
723	4244	1618
724	4251	1612
725	4254	1605
726	4260	1599
727	4265	1593
728	4271	1587
729	4277	1582
730	4282	1575
731	4286	1569
732	4290	1562
733	4296	1557
734	4300	1550
735	4306	1544
736	4310	1538
737	4314	1531
738	4319	1525
739	4324	1519
740	4328	1512
741	4333	1506
742	4337	1500
743	4342	1494
744	4348	1488
745	4355	1483
746	4360	1476
747	4366	1470
748	4370	1464
749	4378	1459
750	4383	1453
751	4389	1447
752	4395	1441
753	4400	1435
754	4409	1430
755	4414	1424
756	4420	1419
757	4426	1413
758	4432	1407
759	4437	1401
760	4442	1395
761	4447	1389
762	4452	1382
763	4460	1377
764	4464	1371
765	4468	1365
766	4473	1358
767	4477	1352
768	4482	1346
769	4486	1340
770	4491	1333
771	4496	1327
772	4499	1321
773	4505	1315
774	4511	1309
775	4515	1303
776	4521	1297
777	4531	1293
778	4535	1286
779	4543	1281
780	4548	1275
781	4552	1268
782	4557	1262
783	4564	1257
784	4570	1251
785	4578	1246
786	4584	1240
787	4590	1234
788	4596	1229
789	4602	1223
790	4607	1217
791	4614	1212
792	4620	1206
793	4626	1200
794	4632	1194
795	4637	1188
796	4642	1182
797	4651	1177
798	4658	1171
799	4669	1167
800	4683	1163
801	4690	1158
802	4704	1154
803	4714	1149
804	4719	1143
805	4725	1137
806	4732	1131
807	4738	1125
808	4742	1119
809	4746	1113
810	4752	1107
811	4759	1102
812	4766	1096
813	4771	1090
814	4784	1086
815	4800	1082
816	4813	1078
817	4820	1072
818	4828	1067
819	4833	1061
820	4839	1055
821	4844	1048
822	4850	1043
823	4856	1037
824	4863	1031
825	4868	1025
826	4871	1019
827	4877	1013
828	4884	1007
829	4888	1001
830	4892	995
831	4900	989
832	4908	984
833	4916	978
834	4922	972
835	4928	966
836	4937	961
837	4944	955
838	4949	949
839	4954	943
840	4963	938
841	4971	932
842	4978	927
843	4982	921
844	4989	915
845	4995	909
846	5000	903
847	5007	897
848	5013	891
849	5018	885
850	5024	879
851	5030	873
852	5035	867
853	5038	861
854	5044	855
855	5049	849
856	5057	843
857	5062	837
858	5068	831
859	5077	826
860	5082	820
861	5087	814
862	5092	808
863	5096	802
864	5101	796
865	5109	790
866	5115	784
867	5119	778
868	5123	772
869	5129	766
870	5133	760
871	5137	754
872	5143	748
873	5147	742
874	5151	735
875	5157	730
876	5164	724
877	5169	718
878	5175	712
879	5179	706
880	5185	700
881	5189	694
882	5194	688
883	5199	682
884	5204	676
885	5209	670
886	5213	664
887	5217	658
888	5222	652
889	5228	646
890	5232	640
891	5237	634
892	5242	628
893	5247	622
894	5252	616
895	5258	610
896	5264	604
897	5268	598
898	5277	592
899	5286	587
900	5291	581
901	5300	575
902	5308	570
903	5313	564
904	5321	558
905	5325	552
906	5334	546
907	5339	540
908	5345	535
909	5351	529
910	5355	523
911	5359	517
912	5368	511
913	5373	505
914	5385	500
915	5391	494
916	5404	489
917	5413	483
918	5427	478
919	5444	473
920	5453	467
921	5464	462
922	5472	456
923	5482	450
924	5496	445
925	5511	440
926	5525	435
927	5530	429
928	5555	424
929	5573	419
930	5584	413
931	5593	408
932	5609	402
933	5617	396
934	5624	391
935	5639	385
936	5658	380
937	5677	375
938	5692	369
939	5699	363
940	5711	358
941	5729	352
942	5740	346
943	5745	340
944	5752	334
945	5757	328
946	5763	322
947	5770	316
948	5776	310
949	5791	304
950	5798	298
951	5807	292
952	5813	286
953	5820	280
954	5824	274
955	5837	268
956	5845	262
957	5851	256
958	5858	250
959	5863	244
960	5867	238
961	5873	231
962	5879	225
963	5886	219
964	5891	213
965	5896	207
966	5906	201
967	5911	195
968	5924	189
969	5940	183
970	5956	177
971	5963	171
972	5972	165
973	5980	159
974	5988	153
975	5993	147
976	6005	141
977	6010	135
978	6023	129
979	6029	123
980	6036	116
981	6043	110
982	6051	104
983	6058	98
984	6063	92
985	6070	86
986	6076	80
987	6084	73
988	6090	67
989	6097	61
990	6104	55
991	6109	49
992	6114	43
993	6124	36
994	6129	30
995	6136	24
996	6141	18
997	6148	12
998	6154	6
999	6160	0
