iter	Logloss
0	0.6571427321
1	0.6248985964
2	0.6007609428
3	0.5817704521
4	0.563176212
5	0.5458295065
6	0.5307829817
7	0.5199424961
8	0.5100826435
9	0.501170128
10	0.4949165404
11	0.4888450553
12	0.4819314645
13	0.4757753287
14	0.4715371485
15	0.4661474996
16	0.4634484003
17	0.4596452587
18	0.4562457923
19	0.4537348484
20	0.451950763
21	0.4500433718
22	0.4481880708
23	0.4462213081
24	0.4438526445
25	0.4423457197
26	0.4398472811
27	0.4380242897
28	0.4370997995
29	0.4347337197
30	0.4331455392
31	0.4322626335
32	0.4314515584
33	0.4307608761
34	0.4292226853
35	0.4283254239
36	0.4274415032
37	0.4262206956
38	0.4256691788
39	0.4250519582
40	0.4245401196
41	0.4239399202
42	0.4222858899
43	0.4221947648
44	0.421592744
45	0.4211512992
46	0.4208820679
47	0.4203676015
48	0.4198240415
49	0.419616288
50	0.4190984948
51	0.4188901717
52	0.4185258937
53	0.4179636129
54	0.4175282552
55	0.4171719727
56	0.416481016
57	0.4160603473
58	0.4156162366
59	0.4151850529
60	0.4147842716
61	0.4144002378
62	0.4141338199
63	0.4136771859
64	0.4133964927
65	0.4129634005
66	0.412744564
67	0.4118311537
68	0.4115694656
69	0.4112670386
70	0.411072857
71	0.4107752266
72	0.4106280316
73	0.4103557552
74	0.4097885986
75	0.4091984794
76	0.4090405617
77	0.4088057228
78	0.4080531213
79	0.4078229505
80	0.4076647898
81	0.4074508246
82	0.4072528437
83	0.4070027652
84	0.4069083645
85	0.4066491153
86	0.406430932
87	0.4063621247
88	0.4061542953
89	0.4059816453
90	0.4057994058
91	0.4056565597
92	0.4055837466
93	0.4053576959
94	0.40506102
95	0.4048253136
96	0.4042906743
97	0.4041661311
98	0.4037046054
99	0.4035429422
100	0.4033580635
101	0.4029486251
102	0.4027226807
103	0.4019975414
104	0.4018572274
105	0.4017745702
106	0.4015470059
107	0.4012567523
108	0.4011491555
109	0.4005996973
110	0.4004923174
111	0.400333315
112	0.4001263293
113	0.4000121201
114	0.3998153072
115	0.3996875401
116	0.3994779541
117	0.3994373405
118	0.3992537807
119	0.3991650988
120	0.3989311342
121	0.3988074762
122	0.3987006082
123	0.3983278483
124	0.3979872928
125	0.3978923107
126	0.3977909233
127	0.3972590045
128	0.3970702793
129	0.3968551573
130	0.3967021129
131	0.3963981184
132	0.3963513967
133	0.3961911754
134	0.3960948724
135	0.3959195222
136	0.3957137477
137	0.3955841916
138	0.3953400777
139	0.3951530277
140	0.3950558313
141	0.3948057679
142	0.3946058611
143	0.3944628019
144	0.3941707201
145	0.3939834091
146	0.3937874919
147	0.3936600075
148	0.3935116858
149	0.3931573965
150	0.3930055949
151	0.3928408311
152	0.3925980212
153	0.3924256598
154	0.3923021129
155	0.3921835445
156	0.3918649573
157	0.391713982
158	0.3915825002
159	0.3914300374
160	0.391225907
161	0.3910434794
162	0.3908678293
163	0.3905858649
164	0.3900616737
165	0.3898882937
166	0.3897360526
167	0.3890635736
168	0.3885428219
169	0.3884493093
170	0.3883344163
171	0.3881977875
172	0.3880540968
173	0.3876147567
174	0.3875203457
175	0.3870676047
176	0.3869798986
177	0.3868413203
178	0.3867546307
179	0.3866272443
180	0.3865044124
181	0.3863340689
182	0.3861691161
183	0.3860026492
184	0.3859143788
185	0.3857781785
186	0.3856186489
187	0.3854966178
188	0.3854274785
189	0.3850524933
190	0.3848613479
191	0.3846859012
192	0.3845538143
193	0.384351988
194	0.3842506441
195	0.3841052396
196	0.3840345078
197	0.3839297192
198	0.3836327137
199	0.3835069319
200	0.3834323111
201	0.3833205666
202	0.3830332257
203	0.3828369857
204	0.3827305962
205	0.3826368448
206	0.3825271007
207	0.3824082633
208	0.3823235603
209	0.3820563194
210	0.3819731417
211	0.3817858098
212	0.3816022145
213	0.381449008
214	0.3812540006
215	0.3811636485
216	0.381025486
217	0.3809442343
218	0.3807628396
219	0.3806939299
220	0.3805749212
221	0.3804754852
222	0.3803311753
223	0.3802404227
224	0.3801009082
225	0.3799731127
226	0.3798681007
227	0.3797409859
228	0.3795735334
229	0.379462461
230	0.3793191033
231	0.3791756827
232	0.379092804
233	0.3790098737
234	0.3789476362
235	0.3787889442
236	0.3786548829
237	0.3785818491
238	0.3785117214
239	0.3784613503
240	0.3783486039
241	0.3782133119
242	0.3780957951
243	0.3779656995
244	0.3778154663
245	0.3776054254
246	0.3775151761
247	0.3773608641
248	0.3772510467
249	0.3771599568
250	0.377061051
251	0.3769772643
252	0.3767869371
253	0.376679025
254	0.3765824534
255	0.3764703487
256	0.3763323656
257	0.376264254
258	0.3761749796
259	0.376040321
260	0.3759694942
261	0.3758255932
262	0.3757199397
263	0.3756216648
264	0.3755508323
265	0.3754401039
266	0.3753620732
267	0.3752817524
268	0.3751548385
269	0.375026462
270	0.3749026444
271	0.3747778432
272	0.3747182443
273	0.3745606677
274	0.3744658193
275	0.3743864474
276	0.3741803296
277	0.3740592078
278	0.3739199271
279	0.3737641227
280	0.3736643562
281	0.3735690287
282	0.3734677855
283	0.3734075745
284	0.3732652791
285	0.3731828646
286	0.373089451
287	0.3730012998
288	0.3729114935
289	0.372774676
290	0.3725878882
291	0.3724994388
292	0.3724574034
293	0.3724139915
294	0.372196036
295	0.3720441071
296	0.3718895326
297	0.3717890506
298	0.3716647673
299	0.3715949538
300	0.3715512172
301	0.371497779
302	0.3713874462
303	0.3713261774
304	0.3711899476
305	0.3710894634
306	0.3709969888
307	0.3709276428
308	0.3708345481
309	0.3707375011
310	0.3706551918
311	0.3704848669
312	0.3703852614
313	0.3703000774
314	0.3701634728
315	0.37000907
316	0.3699313271
317	0.3698486331
318	0.3697245976
319	0.3696618414
320	0.3695510434
321	0.3695031108
322	0.3693994283
323	0.3692181332
324	0.3690621037
325	0.3687610684
326	0.3683790459
327	0.3683034837
328	0.3682041693
329	0.3680028463
330	0.3679390411
331	0.367694745
332	0.3676370731
333	0.3674396905
334	0.3673597248
335	0.3672870647
336	0.3672455871
337	0.3670807308
338	0.3670037089
339	0.3668995962
340	0.3667608229
341	0.366598059
342	0.3665120451
343	0.3663658614
344	0.3662645912
345	0.3661584924
346	0.3660371651
347	0.3658980267
348	0.3658271324
349	0.3657738067
350	0.3656963078
351	0.3656105549
352	0.3654992906
353	0.3653607598
354	0.3652223924
355	0.3651608704
356	0.3650947137
357	0.3650379938
358	0.3649654471
359	0.3649070581
360	0.3648344463
361	0.3647431003
362	0.364583341
363	0.3645240354
364	0.3643841035
365	0.3642814853
366	0.3642057445
367	0.36407399
368	0.3639114158
369	0.3638616888
370	0.3637609036
371	0.3636391386
372	0.363433465
373	0.3633595397
374	0.3632949178
375	0.3631825596
376	0.3630934595
377	0.363014768
378	0.362949853
379	0.3628396148
380	0.3627233127
381	0.3626197364
382	0.3625152493
383	0.3623838152
384	0.36230653
385	0.3621917895
386	0.3620982876
387	0.3620369268
388	0.3617612337
389	0.3616788343
390	0.3615740216
391	0.3614732566
392	0.3613153662
393	0.3612179461
394	0.3610992589
395	0.3610376016
396	0.3609661179
397	0.3608956431
398	0.3607615192
399	0.3606787859
400	0.3605548665
401	0.3604370186
402	0.3603504152
403	0.3603162715
404	0.3602849766
405	0.360214141
406	0.3601648552
407	0.3601066569
408	0.3600691971
409	0.3599750407
410	0.3599138334
411	0.359825681
412	0.3597832299
413	0.359655578
414	0.3596246272
415	0.3595062234
416	0.35941018
417	0.3593050607
418	0.3591582738
419	0.3590466744
420	0.3589825845
421	0.3588998635
422	0.3588498423
423	0.358781663
424	0.3587025761
425	0.3586576873
426	0.3585697586
427	0.3585123773
428	0.3584739096
429	0.3584000606
430	0.3582931567
431	0.3582217028
432	0.35815251
433	0.3580918097
434	0.3580259056
435	0.3579601808
436	0.3578916394
437	0.3578056572
438	0.3577378797
439	0.3576401473
440	0.3575641409
441	0.3573162726
442	0.357209958
443	0.3571422608
444	0.3570661717
445	0.3569419064
446	0.3567882273
447	0.3567246354
448	0.3566176902
449	0.3564581015
450	0.3563515527
451	0.3562919749
452	0.3562514454
453	0.3562030557
454	0.356134923
455	0.3560359982
456	0.3558810423
457	0.355805917
458	0.3555771884
459	0.3554904814
460	0.3554250353
461	0.3553728097
462	0.3552887024
463	0.35521455
464	0.3551294752
465	0.3550823637
466	0.3550051521
467	0.3548649436
468	0.3547944356
469	0.3547350164
470	0.3546178025
471	0.3545183862
472	0.3544477241
473	0.3543904697
474	0.3543650982
475	0.3542552059
476	0.3542004509
